time,usage,maxusage
00:15,"2,732.80","10,931.20"
00:30,"2,704.80","10,819.20"
00:45,"2,682.40","10,729.60"
01:00,"2,651.60","10,606.40"
01:15,"2,651.60","10,606.40"
01:30,"2,629.20","10,516.80"
01:45,"2,570.40","10,281.60"
02:00,"2,587.20","10,348.80"
02:15,"2,548.00","10,192.00"
02:30,"2,503.20","10,012.80"
02:45,"2,514.40","10,057.60"
03:00,"2,492.00","9,968.00"
03:15,"2,472.40","9,889.60"
03:30,"2,494.80","9,979.20"
03:45,"2,458.40","9,833.60"
04:00,"2,433.20","9,732.80"
04:15,"2,483.60","9,934.40"
04:30,"2,455.60","9,822.40"
04:45,"2,489.20","9,956.80"
05:00,"2,522.80","10,091.20"
05:15,"2,469.60","9,878.40"
05:30,"2,461.20","9,844.80"
05:45,"2,441.60","9,766.40"
06:00,"2,402.40","9,609.60"
06:15,"2,396.80","9,587.20"
06:30,"2,377.20","9,508.80"
06:45,"2,382.80","9,531.20"
07:00,"2,402.40","9,609.60"
07:15,"2,447.20","9,788.80"
07:30,"2,452.80","9,811.20"
07:45,"2,480.80","9,923.20"
08:00,"2,514.40","10,057.60"
08:15,"2,559.20","10,236.80"
08:30,"2,634.80","10,539.20"
08:45,"2,668.40","10,673.60"
09:00,"2,766.40","11,065.60"
09:15,"2,780.40","11,121.60"
09:30,"2,783.20","11,132.80"
09:45,"2,828.00","11,312.00"
10:00,"2,861.60","11,446.40"
10:15,"2,867.20","11,468.80"
10:30,"2,928.80","11,715.20"
10:45,"2,954.00","11,816.00"
11:00,"2,962.40","11,849.60"
11:15,"3,001.60","12,006.40"
11:30,"3,007.20","12,028.80"
11:45,"2,979.20","11,916.80"
12:00,"2,990.40","11,961.60"
12:15,"2,956.80","11,827.20"
12:30,"2,954.00","11,816.00"
12:45,"2,976.40","11,905.60"
13:00,"2,970.80","11,883.20"
13:15,"3,018.40","12,073.60"
13:30,"3,021.20","12,084.80"
13:45,"3,054.80","12,219.20"
14:00,"3,077.20","12,308.80"
14:15,"3,052.00","12,208.00"
14:30,"3,085.60","12,342.40"
14:45,"3,071.60","12,286.40"
15:00,"3,074.40","12,297.60"
15:15,"3,113.60","12,454.40"
15:30,"3,085.60","12,342.40"
15:45,"3,091.20","12,364.80"
16:00,"3,110.80","12,443.20"
16:15,"3,082.80","12,331.20"
16:30,"3,099.60","12,398.40"
16:45,"3,043.60","12,174.40"
17:00,"3,049.20","12,196.80"
17:15,"3,024.00","12,096.00"
17:30,"3,004.40","12,017.60"
17:45,"2,987.60","11,950.40"
18:00,"2,962.40","11,849.60"
18:15,"2,934.40","11,737.60"
18:30,"2,920.40","11,681.60"
18:45,"2,872.80","11,491.20"
19:00,"2,839.20","11,356.80"
19:15,"2,884.00","11,536.00"
19:30,"2,839.20","11,356.80"
19:45,"2,878.40","11,513.60"
20:00,"2,853.20","11,412.80"
20:15,"2,802.80","11,211.20"
20:30,"2,828.00","11,312.00"
20:45,"2,797.20","11,188.80"
21:00,"2,777.60","11,110.40"
21:15,"2,755.20","11,020.80"
21:30,"2,732.80","10,931.20"
21:45,"2,718.80","10,875.20"
22:00,"2,727.20","10,908.80"
22:15,"2,679.60","10,718.40"
22:30,"2,657.20","10,628.80"
22:45,"2,657.20","10,628.80"
23:00,"2,632.00","10,528.00"
23:15,"2,592.80","10,371.20"
23:30,"2,598.40","10,393.60"
23:45,"2,559.20","10,236.80"
24:00,"2,559.20","10,236.80"
